f,c,ohms,type
53,11.67,18378,10K-2
55,12.78,17437,10K-2
57,13.89,16550,10K-2
59,15.00,15714,10K-2
61,16.11,14925,10K-2
63,17.22,14180,10K-2
65,18.33,13478,10K-2
67,19.44,12814,10K-2
69,20.56,12182,10K-2
71,21.67,11590,10K-2
73,22.78,11030,10K-2
75,23.89,10501,10K-2
77,25.00,10000,10K-2
79,26.11,9526,10K-2
81,27.22,9078,10K-2
83,28.33,8653,10K-2
85,29.44,8251,10K-2
87,30.56,7866,10K-2
89,31.67,7505,10K-2
91,32.78,7163,10K-2
93,33.89,6838,10K-2
95,35.00,6530,10K-2
97,36.11,6238,10K-2
99,37.22,5960,10K-2
101,38.33,5697,10K-2
103,39.44,5447,10K-2
105,40.56,5207,10K-2
107,41.67,4981,10K-2
109,42.78,4766,10K-2
111,43.89,4561,10K-2
113,45.00,4367,10K-2
115,46.11,4182,10K-2
117,47.22,4006,10K-2
119,48.33,3838,10K-2
121,49.44,3679,10K-2
123,50.56,3525,10K-2
125,51.67,3380,10K-2
127,52.78,3242,10K-2
129,53.89,3111,10K-2
131,55.00,2985,10K-2
133,56.11,2865,10K-2
135,57.22,2751,10K-2
137,58.33,2642,10K-2
139,59.44,2538,10K-2
141,60.56,2438,10K-2
143,61.67,2343,10K-2
145,62.78,2252,10K-2
147,63.89,2165,10K-2
149,65.00,2082,10K-2
151,66.11,2003,10K-2
153,67.22,1927,10K-2
155,68.33,1855,10K-2
157,69.44,1785,10K-2
159,70.56,1718,10K-2
161,71.67,1655,10K-2
163,72.78,1594,10K-2
165,73.89,1536,10K-2
167,75.00,1480,10K-2
169,76.11,1427,10K-2
171,77.22,1375,10K-2
173,78.33,1326,10K-2
175,79.44,1279,10K-2
177,80.56,1234,10K-2
179,81.67,1190,10K-2
181,82.78,1149,10K-2
183,83.89,1109,10K-2
185,85.00,1070,10K-2
187,86.11,1034,10K-2
-39,-39.44,232032,10K-3
-37,-38.33,217394,10K-3
-35,-37.22,203774,10K-3
-33,-36.11,191093,10K-3
-31,-35.00,179281,10K-3
-29,-33.89,168275,10K-3
-27,-32.78,158013,10K-3
-25,-31.67,148442,10K-3
-23,-30.56,139511,10K-3
-21,-29.44,131100,10K-3
-19,-28.33,123317,10K-3
-17,-27.22,116045,10K-3
-15,-26.11,109247,10K-3
-13,-25.00,102889,10K-3
-11,-23.89,96941,10K-3
-9,-22.78,91374,10K-3
-7,-21.67,86160,10K-3
-5,-20.56,81276,10K-3
-3,-19.44,76659,10K-3
-1,-18.33,72371,10K-3
1,-17.22,68348,10K-3
3,-16.11,64574,10K-3
5,-15.00,61031,10K-3
7,-13.89,57703,10K-3
9,-12.78,54578,10K-3
11,-11.67,51641,10K-3
13,-10.56,48879,10K-3
15,-9.44,46259,10K-3
17,-8.33,43817,10K-3
19,-7.22,41519,10K-3
21,-6.11,39354,10K-3
23,-5.00,37316,10K-3
25,-3.89,35395,10K-3
27,-2.78,33585,10K-3
29,-1.67,31878,10K-3
31,-0.56,30267,10K-3
33,0.56,28735,10K-3
35,1.67,27302,10K-3
37,2.78,25948,10K-3
39,3.89,24670,10K-3
41,5.00,23462,10K-3
43,6.11,22320,10K-3
45,7.22,21241,10K-3
47,8.33,20220,10K-3
49,9.44,19254,10K-3
51,10.56,18332,10K-3
53,11.67,17467,10K-3
55,12.78,16648,10K-3
57,13.89,15872,10K-3
59,15.00,15136,10K-3
61,16.11,14439,10K-3
63,17.22,13778,10K-3
65,18.33,13151,10K-3
67,19.44,12556,10K-3
69,20.56,11987,10K-3
71,21.67,11451,10K-3
73,22.78,10942,10K-3
75,23.89,10459,10K-3
77,25.00,10000,10K-3
79,26.11,9564,10K-3
81,27.22,9149,10K-3
83,28.33,8754,10K-3
85,29.44,8379,10K-3
87,30.56,8019,10K-3
89,31.67,7679,10K-3
91,32.78,7355,10K-3
93,33.89,7047,10K-3
95,35.00,6754,10K-3
97,36.11,6474,10K-3
99,37.22,6208,10K-3
101,38.33,5954,10K-3
103,39.44,5712,10K-3
105,40.56,5479,10K-3
107,41.67,5258,10K-3
109,42.78,5048,10K-3
111,43.89,4847,10K-3
113,45.00,4656,10K-3
115,46.11,4473,10K-3
117,47.22,4298,10K-3
119,48.33,4131,10K-3
121,49.44,3971,10K-3
123,50.56,3817,10K-3
125,51.67,3671,10K-3
127,52.78,3532,10K-3
129,53.89,3398,10K-3
131,55.00,3271,10K-3
133,56.11,3149,10K-3
135,57.22,3032,10K-3
137,58.33,2920,10K-3
139,59.44,2812,10K-3
141,60.56,2709,10K-3
143,61.67,2610,10K-3
145,62.78,2516,10K-3
147,63.89,2425,10K-3
149,65.00,2339,10K-3
151,66.11,2256,10K-3
153,67.22,2176,10K-3
155,68.33,2099,10K-3
157,69.44,2026,10K-3
159,70.56,1955,10K-3
161,71.67,1887,10K-3
163,72.78,1822,10K-3
165,73.89,1760,10K-3
167,75.00,1700,10K-3
169,76.11,1642,10K-3
171,77.22,1587,10K-3
173,78.33,1534,10K-3
175,79.44,1483,10K-3
177,80.56,1433,10K-3
179,81.67,1386,10K-3
181,82.78,1341,10K-3
183,83.89,1297,10K-3
185,85.00,1255,10K-3
187,86.11,1214,10K-3
-39,-39.44,10502,10K-3(11K)
-37,-38.33,10470,10K-3(11K)
-35,-37.22,10437,10K-3(11K)
-33,-36.11,10401,10K-3(11K)
-31,-35.00,10364,10K-3(11K)
-29,-33.89,10325,10K-3(11K)
-27,-32.78,10284,10K-3(11K)
-25,-31.67,10241,10K-3(11K)
-23,-30.56,10196,10K-3(11K)
-21,-29.44,10148,10K-3(11K)
-19,-28.33,10099,10K-3(11K)
-17,-27.22,10048,10K-3(11K)
-15,-26.11,9994,10K-3(11K)
-13,-25.00,9938,10K-3(11K)
-11,-23.89,9879,10K-3(11K)
-9,-22.78,9818,10K-3(11K)
-7,-21.67,9755,10K-3(11K)
-5,-20.56,9689,10K-3(11K)
-3,-19.44,9620,10K-3(11K)
-1,-18.33,9549,10K-3(11K)
1,-17.22,9475,10K-3(11K)
3,-16.11,9399,10K-3(11K)
5,-15.00,9320,10K-3(11K)
7,-13.89,9239,10K-3(11K)
9,-12.78,9155,10K-3(11K)
11,-11.67,9068,10K-3(11K)
13,-10.56,8979,10K-3(11K)
15,-9.44,8887,10K-3(11K)
17,-8.33,8793,10K-3(11K)
19,-7.22,8696,10K-3(11K)
21,-6.11,8597,10K-3(11K)
23,-5.00,8496,10K-3(11K)
25,-3.89,8392,10K-3(11K)
27,-2.78,8286,10K-3(11K)
29,-1.67,8178,10K-3(11K)
31,-0.56,8068,10K-3(11K)
33,0.56,7955,10K-3(11K)
35,1.67,7841,10K-3(11K)
37,2.78,7725,10K-3(11K)
39,3.89,7608,10K-3(11K)
41,5.00,7489,10K-3(11K)
43,6.11,7369,10K-3(11K)
45,7.22,7247,10K-3(11K)
47,8.33,7124,10K-3(11K)
49,9.44,7001,10K-3(11K)
51,10.56,6875,10K-3(11K)
53,11.67,6749,10K-3(11K)
55,12.78,6623,10K-3(11K)
57,13.89,6497,10K-3(11K)
59,15.00,6370,10K-3(11K)
61,16.11,6244,10K-3(11K)
63,17.22,6117,10K-3(11K)
65,18.33,5990,10K-3(11K)
67,19.44,5863,10K-3(11K)
69,20.56,5736,10K-3(11K)
71,21.67,5611,10K-3(11K)
73,22.78,5486,10K-3(11K)
75,23.89,5361,10K-3(11K)
77,25.00,5238,10K-3(11K)
79,26.11,5116,10K-3(11K)
81,27.22,4995,10K-3(11K)
83,28.33,4875,10K-3(11K)
85,29.44,4756,10K-3(11K)
87,30.56,4638,10K-3(11K)
89,31.67,4522,10K-3(11K)
91,32.78,4408,10K-3(11K)
93,33.89,4295,10K-3(11K)
95,35.00,4185,10K-3(11K)
97,36.11,4076,10K-3(11K)
99,37.22,3968,10K-3(11K)
101,38.33,3863,10K-3(11K)
103,39.44,3760,10K-3(11K)
105,40.56,3657,10K-3(11K)
107,41.67,3558,10K-3(11K)
109,42.78,3460,10K-3(11K)
111,43.89,3365,10K-3(11K)
113,45.00,3271,10K-3(11K)
115,46.11,3180,10K-3(11K)
117,47.22,3090,10K-3(11K)
119,48.33,3003,10K-3(11K)
121,49.44,2918,10K-3(11K)
123,50.56,2834,10K-3(11K)
125,51.67,2753,10K-3(11K)
127,52.78,2673,10K-3(11K)
129,53.89,2596,10K-3(11K)
131,55.00,2521,10K-3(11K)
133,56.11,2448,10K-3(11K)
135,57.22,2377,10K-3(11K)
137,58.33,2307,10K-3(11K)
139,59.44,2240,10K-3(11K)
141,60.56,2173,10K-3(11K)
143,61.67,2110,10K-3(11K)
145,62.78,2048,10K-3(11K)
147,63.89,1987,10K-3(11K)
149,65.00,1929,10K-3(11K)
151,66.11,1872,10K-3(11K)
153,67.22,1817,10K-3(11K)
155,68.33,1763,10K-3(11K)
157,69.44,1711,10K-3(11K)
159,70.56,1660,10K-3(11K)
161,71.67,1611,10K-3(11K)
163,72.78,1563,10K-3(11K)
165,73.89,1517,10K-3(11K)
167,75.00,1472,10K-3(11K)
169,76.11,1429,10K-3(11K)
171,77.22,1387,10K-3(11K)
173,78.33,1346,10K-3(11K)
175,79.44,1307,10K-3(11K)
177,80.56,1268,10K-3(11K)
179,81.67,1231,10K-3(11K)
181,82.78,1195,10K-3(11K)
183,83.89,1160,10K-3(11K)
185,85.00,1126,10K-3(11K)
187,86.11,1094,10K-3(11K)
-25.00,-31.67,121337.68,10K-4
-23.00,-30.56,114680.68,10K-4
-21.00,-29.44,107902.80,10K-4
-19.00,-28.33,102315.81,10K-4
-17.00,-27.22,96577.40,10K-4
-15.00,-26.11,91592.14,10K-4
-13.00,-25.00,86349.14,10K-4
-11.00,-23.89,81677.48,10K-4
-9.00,-22.78,77464.02,10K-4
-7.00,-21.67,73626.54,10K-4
-5.00,-20.56,69730.75,10K-4
-3.00,-19.44,65790.68,10K-4
-1.00,-18.33,62411.94,10K-4
1.00,-17.22,59195.27,10K-4
3.00,-16.11,56395.35,10K-4
5.00,-15.00,53402.02,10K-4
7.00,-13.89,50741.53,10K-4
9.00,-12.78,48116.13,10K-4
11.00,-11.67,45744.71,10K-4
13.00,-10.56,43586.77,10K-4
15.00,-9.44,41442.56,10K-4
17.00,-8.33,39415.48,10K-4
19.00,-7.22,37530.55,10K-4
21.00,-6.11,35578.85,10K-4
23.00,-5.00,33907.51,10K-4
25.00,-3.89,32315.09,10K-4
27.00,-2.78,30786.74,10K-4
29.00,-1.67,29312.33,10K-4
31.00,-0.56,28020.79,10K-4
33.00,0.56,26674.98,10K-4
35.00,1.67,25431.90,10K-4
37.00,2.78,24206.93,10K-4
39.00,3.89,23110.43,10K-4
41.00,5.00,22123.34,10K-4
43.00,6.11,21124.21,10K-4
45.00,7.22,20118.13,10K-4
47.00,8.33,19198.17,10K-4
49.00,9.44,18355.72,10K-4
51.00,10.56,17534.65,10K-4
53.00,11.67,16815.62,10K-4
55.00,12.78,16068.06,10K-4
57.00,13.89,15367.29,10K-4
59.00,15.00,14712.78,10K-4
61.00,16.11,14094.43,10K-4
63.00,17.22,13509.16,10K-4
65.00,18.33,12890.21,10K-4
67.00,19.44,12363.62,10K-4
69.00,20.56,11835.75,10K-4
71.00,21.67,11352.68,10K-4
73.00,22.78,10887.19,10K-4
75.00,23.89,10436.13,10K-4
77.00,25.00,10000.00,10K-4
79.00,26.11,9624.30,10K-4
81.00,27.22,9209.57,10K-4
83.00,28.33,8849.35,10K-4
85.00,29.44,8495.83,10K-4
87.00,30.56,8173.71,10K-4
89.00,31.67,7829.49,10K-4
91.00,32.78,7527.17,10K-4
93.00,33.89,7227.13,10K-4
95.00,35.00,6962.64,10K-4
97.00,36.11,6697.32,10K-4
99.00,37.22,6431.78,10K-4
101.00,38.33,6196.38,10K-4
103.00,39.44,5959.41,10K-4
105.00,40.56,5740.43,10K-4
107.00,41.67,5526.53,10K-4
109.00,42.78,5309.32,10K-4
111.00,43.89,5115.09,10K-4
113.00,45.00,4940.96,10K-4
115.00,46.11,4762.40,10K-4
117.00,47.22,4579.39,10K-4
119.00,48.33,4414.63,10K-4
121.00,49.44,4266.17,10K-4
123.00,50.56,4107.56,10K-4
125.00,51.67,3968.75,10K-4
127.00,52.78,3824.52,10K-4
129.00,53.89,3693.44,10K-4
131.00,55.00,3557.25,10K-4
133.00,56.11,3433.21,10K-4
135.00,57.22,3320.24,10K-4
137.00,58.33,3201.62,10K-4
139.00,59.44,3093.24,10K-4
141.00,60.56,2991.41,10K-4
143.00,61.67,2886.83,10K-4
145.00,62.78,2790.85,10K-4
147.00,63.89,2702.95,10K-4
149.00,65.00,2609.54,10K-4
151.00,66.11,2523.56,10K-4
153.00,67.22,2444.57,10K-4
155.00,68.33,2360.03,10K-4
157.00,69.44,2282.17,10K-4
159.00,70.56,2208.35,10K-4
161.00,71.67,2141.84,10K-4
163.00,72.78,2070.24,10K-4
165.00,73.89,2013.64,10K-4
167.00,75.00,1942.42,10K-4
169.00,76.11,1885.14,10K-4
171.00,77.22,1823.37,10K-4
-39,-39.44,776470,20K
-37,-38.33,719538,20K
-35,-37.22,667144,20K
-33,-36.11,618900,20K
-31,-35.00,574453,20K
-29,-33.89,533481,20K
-27,-32.78,495691,20K
-25,-31.67,460818,20K
-23,-30.56,428619,20K
-21,-29.44,398615,20K
-19,-28.33,371140,20K
-17,-27.22,345732,20K
-15,-26.11,322223,20K
-13,-25.00,300459,20K
-11,-23.89,280301,20K
-9,-22.78,261622,20K
-7,-21.67,244304,20K
-5,-20.56,228239,20K
-3,-19.44,213201,20K
-1,-18.33,199368,20K
1,-17.22,186518,20K
3,-16.11,174575,20K
5,-15.00,163471,20K
7,-13.89,153140,20K
9,-12.78,143526,20K
11,-11.67,134575,20K
13,-10.56,126236,20K
15,-9.44,118397,20K
17,-8.33,111156,20K
19,-7.22,104402,20K
21,-6.11,98099,20K
23,-5.00,92214,20K
25,-3.89,86719,20K
27,-2.78,81583,20K
29,-1.67,76783,20K
31,-0.56,72294,20K
33,0.56,68057,20K
35,1.67,64129,20K
37,2.78,60451,20K
39,3.89,57005,20K
41,5.00,53777,20K
43,6.11,50750,20K
45,7.22,47912,20K
47,8.33,45249,20K
49,9.44,42750,20K
51,10.56,40383,20K
53,11.67,38180,20K
55,12.78,36111,20K
57,13.89,34165,20K
59,15.00,32336,20K
61,16.11,30615,20K
63,17.22,28996,20K
65,18.33,27472,20K
67,19.44,26037,20K
69,20.56,24674,20K
71,21.67,23400,20K
73,22.78,22200,20K
75,23.89,21068,20K
77,25.00,20001,20K
79,26.11,18994,20K
81,27.22,18043,20K
83,28.33,17145,20K
85,29.44,16297,20K
87,30.56,15488,20K
89,31.67,14731,20K
91,32.78,14016,20K
93,33.89,13339,20K
95,35.00,12699,20K
97,36.11,12092,20K
99,37.22,11519,20K
101,38.33,10975,20K
103,39.44,10461,20K
105,40.56,9969,20K
107,41.67,9507,20K
109,42.78,9069,20K
111,43.89,8654,20K
113,45.00,8260,20K
115,46.11,7886,20K
117,47.22,7531,20K
119,48.33,7194,20K
121,49.44,6874,20K
123,50.56,6567,20K
125,51.67,6278,20K
127,52.78,6004,20K
129,53.89,5742,20K
131,55.00,5494,20K
133,56.11,5258,20K
135,57.22,5033,20K
137,58.33,4819,20K
139,59.44,4616,20K
141,60.56,4420,20K
143,61.67,4235,20K
145,62.78,4059,20K
147,63.89,3892,20K
149,65.00,3732,20K
151,66.11,3579,20K
153,67.22,3434,20K
155,68.33,3295,20K
157,69.44,3163,20K
159,70.56,3035,20K
161,71.67,2914,20K
163,72.78,2799,20K
165,73.89,2689,20K
167,75.00,2584,20K
169,76.11,2484,20K
171,77.22,2388,20K
173,78.33,2296,20K
175,79.44,2208,20K
177,80.56,2123,20K
179,81.67,2043,20K
181,82.78,1966,20K
183,83.89,1892,20K
185,85.00,1822,20K
187,86.11,1754,20K
-39,-39.44,1531956,47K
-37,-38.33,1425406,47K
-35,-37.22,1326920,47K
-33,-36.11,1235843,47K
-31,-35.00,1151576,47K
-29,-33.89,1073571,47K
-27,-32.78,1001327,47K
-25,-31.67,934386,47K
-23,-30.56,872330,47K
-21,-29.44,814274,47K
-19,-28.33,760902,47K
-17,-27.22,711353,47K
-15,-26.11,665333,47K
-13,-25.00,622569,47K
-11,-23.89,582814,47K
-9,-22.78,545838,47K
-7,-21.67,511432,47K
-5,-20.56,479403,47K
-3,-19.44,449314,47K
-1,-18.33,421538,47K
1,-17.22,395646,47K
3,-16.11,371501,47K
5,-15.00,348974,47K
7,-13.89,327948,47K
9,-12.78,308315,47K
11,-11.67,289975,47K
13,-10.56,272835,47K
15,-9.44,256671,47K
17,-8.33,241692,47K
19,-7.22,227677,47K
21,-6.11,214557,47K
23,-5.00,202271,47K
25,-3.89,190762,47K
27,-2.78,179975,47K
29,-1.67,169862,47K
31,-0.56,160377,47K
33,0.56,151399,47K
35,1.67,143050,47K
37,2.78,135211,47K
39,3.89,127847,47K
41,5.00,120927,47K
43,6.11,114422,47K
45,7.22,108304,47K
47,8.33,102549,47K
49,9.44,97134,47K
51,10.56,91991,47K
53,11.67,87192,47K
55,12.78,82672,47K
57,13.89,78412,47K
59,15.00,74395,47K
61,16.11,70608,47K
63,17.22,67035,47K
65,18.33,63663,47K
67,19.44,60480,47K
69,20.56,57448,47K
71,21.67,54611,47K
73,22.78,51929,47K
75,23.89,49395,47K
77,25.00,46998,47K
79,26.11,44731,47K
81,27.22,42586,47K
83,28.33,40557,47K
85,29.44,38635,47K
87,30.56,36799,47K
89,31.67,35076,47K
91,32.78,33443,47K
93,33.89,31895,47K
95,35.00,30428,47K
97,36.11,29036,47K
99,37.22,27715,47K
101,38.33,26462,47K
103,39.44,25272,47K
105,40.56,24133,47K
107,41.67,23061,47K
109,42.78,22042,47K
111,43.89,21073,47K
113,45.00,20153,47K
115,46.11,19278,47K
117,47.22,18445,47K
119,48.33,17653,47K
121,49.44,16899,47K
123,50.56,16175,47K
125,51.67,15493,47K
127,52.78,14842,47K
129,53.89,14223,47K
131,55.00,13632,47K
133,56.11,13070,47K
135,57.22,12533,47K
137,58.33,12021,47K
139,59.44,11533,47K
141,60.56,11064,47K
143,61.67,10620,47K
145,62.78,10196,47K
147,63.89,9791,47K
149,65.00,9404,47K
151,66.11,9035,47K
153,67.22,8682,47K
155,68.33,8345,47K
157,69.44,8022,47K
159,70.56,7711,47K
161,71.67,7416,47K
163,72.78,7135,47K
165,73.89,6865,47K
167,75.00,6607,47K
169,76.11,6359,47K
171,77.22,6123,47K
173,78.33,5896,47K
175,79.44,5679,47K
177,80.56,5469,47K
179,81.67,5270,47K
181,82.78,5079,47K
183,83.89,4896,47K
185,85.00,4721,47K
187,86.11,4552,47K
-39,-39.44,1956240,50K
-37,-38.33,1812199,50K
-35,-37.22,1679700,50K
-33,-36.11,1557748,50K
-31,-35.00,1445439,50K
-29,-33.89,1341952,50K
-27,-32.78,1246540,50K
-25,-31.67,1158525,50K
-23,-30.56,1077290,50K
-21,-29.44,1001621,50K
-19,-28.33,932353,50K
-17,-27.22,868317,50K
-15,-26.11,809086,50K
-13,-25.00,754271,50K
-11,-23.89,703517,50K
-9,-22.78,656499,50K
-7,-21.67,612919,50K
-5,-20.56,572506,50K
-3,-19.44,534686,50K
-1,-18.33,499905,50K
1,-17.22,467604,50K
3,-16.11,437592,50K
5,-15.00,409692,50K
7,-13.89,383745,50K
9,-12.78,359601,50K
11,-11.67,337126,50K
13,-10.56,316194,50K
15,-9.44,296522,50K
17,-8.33,278353,50K
19,-7.22,261408,50K
21,-6.11,245599,50K
23,-5.00,230842,50K
25,-3.89,217062,50K
27,-2.78,204189,50K
29,-1.67,192156,50K
31,-0.56,180906,50K
33,0.56,170291,50K
35,1.67,160449,50K
37,2.78,151235,50K
39,3.89,142605,50K
41,5.00,134519,50K
43,6.11,126941,50K
45,7.22,119834,50K
47,8.33,113168,50K
49,9.44,106912,50K
51,10.56,100988,50K
53,11.67,95475,50K
55,12.78,90296,50K
57,13.89,85428,50K
59,15.00,80852,50K
61,16.11,76547,50K
63,17.22,72497,50K
65,18.33,68685,50K
67,19.44,65095,50K
69,20.56,61685,50K
71,21.67,58500,50K
73,22.78,55499,50K
75,23.89,52669,50K
77,25.00,50000,50K
79,26.11,47481,50K
81,27.22,45104,50K
83,28.33,42859,50K
85,29.44,40739,50K
87,30.56,38718,50K
89,31.67,36826,50K
91,32.78,35037,50K
93,33.89,33345,50K
95,35.00,31745,50K
97,36.11,30230,50K
99,37.22,28796,50K
101,38.33,27438,50K
103,39.44,26152,50K
105,40.56,24923,50K
107,41.67,23768,50K
109,42.78,22674,50K
111,43.89,21635,50K
113,45.00,20651,50K
115,46.11,19716,50K
117,47.22,18829,50K
119,48.33,17987,50K
121,49.44,17187,50K
123,50.56,16421,50K
125,51.67,15699,50K
127,52.78,15013,50K
129,53.89,14360,50K
131,55.00,13740,50K
133,56.11,13150,50K
135,57.22,12588,50K
137,58.33,12053,50K
139,59.44,11544,50K
141,60.56,11055,50K
143,61.67,10593,50K
145,62.78,10154,50K
147,63.89,9734,50K
149,65.00,9335,50K
151,66.11,8954,50K
153,67.22,8590,50K
155,68.33,8243,50K
157,69.44,7912,50K
159,70.56,7593,50K
161,71.67,7292,50K
163,72.78,7004,50K
165,73.89,6729,50K
167,75.00,6466,50K
169,76.11,6215,50K
171,77.22,5975,50K
173,78.33,5745,50K
175,79.44,5526,50K
177,80.56,5314,50K
179,81.67,5113,50K
181,82.78,4921,50K
183,83.89,4737,50K
185,85.00,4561,50K
187,86.11,4392,50K
-39,-39.44,3916295,100K
-37,-38.33,3627711,100K
-35,-37.22,3362274,100K
-33,-36.11,3117987,100K
-31,-35.00,2893035,100K
-29,-33.89,2685770,100K
-27,-32.78,2494694,100K
-25,-31.67,2318444,100K
-23,-30.56,2155781,100K
-21,-29.44,2004274,100K
-19,-28.33,1865595,100K
-17,-27.22,1737397,100K
-15,-26.11,1618827,100K
-13,-25.00,1509102,100K
-11,-23.89,1407512,100K
-9,-22.78,1313405,100K
-7,-21.67,1226184,100K
-5,-20.56,1145306,100K
-3,-19.44,1069620,100K
-1,-18.33,1000019,100K
1,-17.22,935383,100K
3,-16.11,875329,100K
5,-15.00,819505,100K
7,-13.89,767589,100K
9,-12.78,719284,100K
11,-11.67,674319,100K
13,-10.56,632442,100K
15,-9.44,593086,100K
17,-8.33,556739,100K
19,-7.22,522842,100K
21,-6.11,491217,100K
23,-5.00,461699,100K
25,-3.89,434134,100K
27,-2.78,408383,100K
29,-1.67,384316,100K
31,-0.56,361813,100K
33,0.56,340581,100K
35,1.67,320895,100K
37,2.78,302466,100K
39,3.89,285206,100K
41,5.00,269035,100K
43,6.11,253877,100K
45,7.22,239664,100K
47,8.33,226331,100K
49,9.44,213819,100K
51,10.56,201971,100K
53,11.67,190946,100K
55,12.78,180588,100K
57,13.89,170853,100K
59,15.00,161700,100K
61,16.11,153092,100K
63,17.22,144992,100K
65,18.33,137367,100K
67,19.44,130189,100K
69,20.56,123368,100K
71,21.67,117000,100K
73,22.78,110998,100K
75,23.89,105338,100K
77,25.00,100000,100K
79,26.11,94963,100K
81,27.22,90208,100K
83,28.33,85719,100K
85,29.44,81479,100K
87,30.56,77438,100K
89,31.67,73654,100K
91,32.78,70076,100K
93,33.89,66692,100K
95,35.00,63491,100K
97,36.11,60461,100K
99,37.22,57594,100K
101,38.33,54878,100K
103,39.44,52306,100K
105,40.56,49847,100K
107,41.67,47538,100K
109,42.78,45349,100K
111,43.89,43273,100K
113,45.00,41303,100K
115,46.11,39434,100K
117,47.22,37660,100K
119,48.33,35976,100K
121,49.44,34376,100K
123,50.56,32843,100K
125,51.67,31399,100K
127,52.78,30027,100K
129,53.89,28722,100K
131,55.00,27481,100K
133,56.11,26300,100K
135,57.22,25177,100K
137,58.33,24107,100K
139,59.44,23089,100K
141,60.56,22111,100K
143,61.67,21188,100K
145,62.78,20308,100K
147,63.89,19469,100K
149,65.00,18670,100K
151,66.11,17907,100K
153,67.22,17180,100K
155,68.33,16486,100K
157,69.44,15824,100K
159,70.56,15187,100K
161,71.67,14584,100K
163,72.78,14008,100K
165,73.89,13458,100K
167,75.00,12932,100K
169,76.11,12430,100K
171,77.22,11949,100K
173,78.33,11490,100K
175,79.44,11051,100K
177,80.56,10627,100K
179,81.67,10225,100K
181,82.78,9841,100K
183,83.89,9473,100K
185,85.00,9121,100K
187,86.11,8783,100K
